date,prcp,snow,min_rain,max_rain,avg_rain,min_snow,max_snow,avg_snow
2013-07-01,0.84,0,0,0.84,0.3625,0,0,0
2013-07-02,0.08,0,0,0.84,0.29,0,0,0
2013-07-03,0.53,0,0,0.84,0.241666666666667,0,0,0
2013-07-04,0,0,0,0.84,0.207142857142857,0,0,0
2013-07-05,0,0,0,0.53,0.118571428571429,0,0,0
2013-07-06,0,0,0,0.53,0.14,0,0,0
2013-07-07,0,0,0,0.23,0.0642857142857143,0,0,0
2013-07-08,0.22,0,0,0.23,0.0642857142857143,0,0,0
2013-07-09,0.23,0,0,0.25,0.1,0,0,0
2013-07-10,0,0,0,0.25,0.108571428571429,0,0,0
2013-07-11,0,0,0,0.25,0.108571428571429,0,0,0
2013-07-12,0.25,0,0,0.25,0.0771428571428572,0,0,0
2013-07-13,0.06,0,0,0.25,0.0442857142857143,0,0,0
2013-07-14,0,0,0,0.25,0.0442857142857143,0,0,0
2013-07-15,0,0,0,0.25,0.0442857142857143,0,0,0
2013-07-16,0,0,0,0.06,0.00857142857142857,0,0,0
2013-07-17,0,0,0,0,0,0,0,0
2013-07-18,0,0,0,0,0,0,0,0
2013-07-19,0,0,0,0.06,0.00857142857142857,0,0,0
2013-07-20,0,0,0,0.31,0.0528571428571429,0,0,0
2013-07-21,0,0,0,0.31,0.0528571428571429,0,0,0
2013-07-22,0.06,0,0,0.31,0.0542857142857143,0,0,0
2013-07-23,0.31,0,0,0.31,0.0542857142857143,0,0,0
2013-07-24,0,0,0,0.31,0.0542857142857143,0,0,0
2013-07-25,0.01,0,0,0.31,0.0885714285714286,0,0,0
2013-07-26,0,0,0,0.31,0.0814285714285714,0,0,0
2013-07-27,0,0,0,0.24,0.0371428571428571,0,0,0
2013-07-28,0.24,0,0,0.24,0.0371428571428571,0,0,0
2013-07-29,0.01,0,0,0.65,0.128571428571429,0,0,0
2013-07-30,0,0,0,0.65,0.128571428571429,0,0,0
2013-07-31,0,0,0,0.65,0.137142857142857,0,0,0
2013-08-01,0.65,0,0,0.65,0.102857142857143,0,0,0
2013-08-02,0,0,0,0.65,0.101428571428571,0,0,0
2013-08-03,0.06,0,0,0.65,0.101428571428571,0,0,0
2013-08-04,0,0,0,0.65,0.101428571428571,0,0,0
2013-08-05,0,0,0,0.46,0.0742857142857143,0,0,0
2013-08-06,0,0,0,0.46,0.0814285714285714,0,0,0
2013-08-07,0,0,0,0.46,0.0728571428571429,0,0,0
2013-08-08,0.46,0,0,0.46,0.0728571428571429,0,0,0
2013-08-09,0.05,0,0,0.46,0.08,0,0,0
2013-08-10,0,0,0,0.85,0.201428571428571,0,0,0
2013-08-11,0,0,0,0.85,0.201428571428571,0,0,0
2013-08-12,0.05,0,0,0.85,0.135714285714286,0,0,0
2013-08-13,0.85,0,0,0.85,0.128571428571429,0,0,0
2013-08-14,0,0,0,0.85,0.128571428571429,0,0,0
2013-08-15,0,0,0,0.85,0.128571428571429,0,0,0
2013-08-16,0,0,0,0.85,0.121428571428571,0,0,0
2013-08-17,0,0,0,0,0,0,0,0
2013-08-18,0,0,0,0,0,0,0,0
2013-08-19,0,0,0,0.25,0.0357142857142857,0,0,0
2013-08-20,0,0,0,0.25,0.0357142857142857,0,0,0
2013-08-21,0,0,0,0.25,0.0357142857142857,0,0,0
2013-08-22,0.25,0,0,0.25,0.0357142857142857,0,0,0
2013-08-23,0,0,0,0.25,0.0414285714285714,0,0,0
2013-08-24,0,0,0,0.25,0.0428571428571429,0,0,0
