Zone,Borough,fare_amount,zone_avg,borough_avg,total_avg
Allerton/Pelham Gardens,Bronx,16.79,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,31.62,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,40.11,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,46.9,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,50.83,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,49.67,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,46.9,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,31.73,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,13.12,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,19,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,41.8,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,35.95,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,36.83,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,53.13,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,7.5,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,26.77,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,20.3,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,44.6,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,37.2,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,18.2,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,20.3,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,18.46,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,59.15,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,40.85,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,40.78,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,13.12,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,23.12,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,53.2,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,34.19,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,18.2,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,54,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,39,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,19,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,31.73,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,52.6,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,28.95,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,4.34,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,18.09,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,49.9,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,45.76,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,62.38,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,50,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,43,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,2.5,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,18.45,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,50.83,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,117,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,40,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,22.29,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,9.5,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,53.2,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,31.62,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,28.42,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,47,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,44.6,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,22.29,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,14.95,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,65.06,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,20.66,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,20.3,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,13.12,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,53.03,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,33.33,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,22.29,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,48.35,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,28.09,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,18.46,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,26.77,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,36.57,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,40.54,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,13.12,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,24,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,24.02,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,13.12,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,20.66,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,20.66,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,59.5,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,55.5,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,36.16,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,4.71,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,18.5,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,14.5,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,44,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,41.5,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,41.5,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,20.2,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,53.08,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,22.93,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,11,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,18.46,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,67.92,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,22.06,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,32.38,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,18.46,31.275780141844,27.6302402926042,12.9290822023433
